train/epoch,test/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Min,debug/MSE improvement over random Max,debug/MSE improvement over random Std,train/loss,debug/MSE of random decoding Mean,beta,debug/MSE of reconstruction,debug/MSE of random decoding Max,train/KL,debug/MSE of random decoding Std,debug/MSE improvement over random Mean,train/Log Prob,test/loss,test/KL
0,-3331.014404296875,4.106937e-12,0.0024154,0.07250816,0.024342619,8199.713266601562,0.070008434,10.0,0.03084239,0.98214644,28.054449973106383,0.11028068,0.03916605,-7919.168732910156,3445.24189453125,11.422749519348145
1,-2553.220849609375,1.4210855e-14,0.00021096878,0.038681686,0.014087456,2415.041552734375,0.048193123,10.0,0.027353495,0.9947775,7.915775017738342,0.120328754,0.020839617,-2335.8838012695314,2610.489599609375,5.726877021789551
2,-2424.6137451171876,0.0,-9.905733e-05,0.032220073,0.012169735,2256.500466308594,0.039601266,10.0,0.025562087,0.98871225,5.543774065971374,0.11782271,0.014039172,-2201.06271484375,2482.266845703125,5.765305280685425
3,-2435.845703125,0.0,-0.00022559986,0.021180985,0.0070029893,2210.76517578125,0.03226334,10.0,0.026503565,0.9929677,4.954111385345459,0.12933837,0.0057597626,-2161.2240625,2481.6013427734374,4.5755658626556395
4,-2190.410302734375,0.0,-8.4659085e-05,0.012927614,0.0036578877,2147.7159008789063,0.029298473,10.0,0.024976648,0.98228264,5.436970114707947,0.14705716,0.0043218127,-2093.3461962890624,2261.067578125,7.065724658966064
5,-2441.46845703125,0.0,-0.0038967375,0.0023186635,0.001876495,1869.39439453125,0.027284306,10.0,0.028450113,0.99999976,7.061167550086975,0.14912319,-0.0011658105,-1798.782716064453,2503.747509765625,6.227904367446899
6,-2583.3764404296876,0.0,-0.0002283603,0.010805419,0.0030633505,1649.953505859375,0.026681002,10.0,0.02246493,1.0,8.228269472122193,0.14264213,0.004216061,-1567.6708178710937,2661.430859375,7.805439805984497
7,-5802.824853515625,0.0,-0.007451011,0.016511302,0.0064370367,1434.0518273925782,0.028573541,10.0,0.02238189,1.0,10.143885478973388,0.146196,0.006191645,-1332.6129650878906,5899.46142578125,9.66365156173706
8,-9095.072021484375,0.0,-0.007239083,0.021392172,0.0054280907,1076.8988299560547,0.037723206,10.0,0.028859122,1.0,11.180035247802735,0.17047758,0.008864084,-965.0984777832032,9209.22412109375,11.4152081489563
9,-7106.982080078125,0.0,-0.043518104,-0.0038694814,0.008397929,850.3310241699219,0.036159776,10.0,0.05183838,1.0,12.257959032058716,0.1703198,-0.015678598,-727.751431274414,7222.114208984375,11.51320676803589
10,-5367.0248046875,0.0,0.00242298,0.040422637,0.00954516,720.6817572021484,0.03838477,10.0,0.009906892,1.0,12.874858846664429,0.17652532,0.028477866,-591.9331677246093,5481.794775390625,11.476990127563477
11,-10490.00205078125,0.0,-0.0320783,0.013754662,0.008228963,633.49513671875,0.041791312,10.0,0.048722062,1.0,13.205419082641601,0.18706886,-0.0069307573,-501.4409454345703,10608.67158203125,11.866955947875976
12,-10238.04033203125,0.0,-0.040382423,0.010029957,0.0109262075,563.8584527587891,0.04048173,10.0,0.047608096,1.0,13.200923767089844,0.18453304,-0.0071263574,-431.8492175292969,10357.34970703125,11.930934524536132
13,-10006.72568359375,0.0,-0.012625568,0.04164525,0.011389388,512.3997155761718,0.044544097,10.0,0.026356526,1.0,13.250348472595215,0.19502461,0.018187573,-379.8962292480469,10122.12578125,11.539999866485596
14,-360.57631225585936,0.0,0.009065731,0.054793984,0.010934248,462.6327410888672,0.04084075,10.0,0.006617469,1.0,13.277840709686279,0.18873437,0.034223273,-329.8543334960938,482.8380950927734,12.22617826461792
15,-2199.863488769531,0.0,-0.015493832,0.041884284,0.012492001,426.7650155639648,0.042620767,10.0,0.026643667,1.0,13.2659375,0.19348136,0.01597709,-294.10563903808594,2322.0836669921873,12.222016048431396
16,-5616.12607421875,0.0,-0.0071161557,0.054403268,0.012855365,402.6385388183594,0.042504363,10.0,0.015331065,1.0,13.318151454925538,0.19404694,0.027173305,-269.457024230957,5736.211083984375,12.00850076675415
17,-4166.47734375,0.0,-0.011173541,0.038073763,0.011219181,385.2317416381836,0.040293775,10.0,0.0224822,1.0,13.233792905807496,0.18911579,0.017811574,-252.89381195068358,4285.9027099609375,11.94253854751587
18,-567.1615386962891,0.0,0.015704859,0.058872417,0.011194343,368.84912872314453,0.041691124,10.0,0.0018813902,1.0,13.241031131744386,0.19283359,0.03980975,-236.43881820678712,691.1457336425781,12.398419666290284
19,-12646.04130859375,0.0,-0.03286214,0.016554777,0.011981567,351.14693939208985,0.04291578,10.0,0.043446865,1.0,13.14468113899231,0.1961955,-0.0005310814,-219.7001287841797,12760.28759765625,11.424628448486327
20,-343.57139282226564,0.0,0.006932844,0.06679753,0.0114960745,340.01533599853514,0.042409867,10.0,0.0023424537,1.0,13.182056922912597,0.19487908,0.040067405,-208.19476776123048,469.9766876220703,12.640529823303222
21,-1158.4891967773438,0.0,-0.002499424,0.040222816,0.010138974,326.0131524658203,0.044839617,10.0,0.02480341,1.0,13.148587703704834,0.20074677,0.020036206,-194.52727645874023,1283.0273803710938,12.453817558288574
22,-7230.197705078125,0.0,-0.036123678,0.018419802,0.009980721,316.5695104980469,0.04370724,10.0,0.044478692,1.0,13.112057600021362,0.19831584,-0.00077144994,-185.44893646240234,7348.1310546875,11.79333438873291
23,-1791.1258178710937,0.0,-0.008881786,0.03895567,0.011174115,319.6504815673828,0.042453602,10.0,0.01993893,1.0,13.068481369018555,0.19579242,0.02251466,-188.96566864013673,1914.3472900390625,12.32214879989624
24,-302.0769287109375,0.0,0.010344605,0.052352667,0.008945382,302.880322265625,0.042929046,10.0,0.0023239125,1.0,13.059584217071533,0.19680169,0.040605143,-172.28448272705077,428.5056549072266,12.6428729057312
25,-7466.328271484375,0.0,0.0116628,0.042388543,0.00792624,299.01221771240233,0.032910045,10.0,0.0042229276,1.0,13.028815393447877,0.17220674,0.028687123,-168.72406524658203,7581.51357421875,11.51853551864624
26,-360.41236267089846,0.0,0.018217478,0.051796235,0.008676228,294.0358895874023,0.043055397,10.0,0.008277331,1.0,12.997144222259521,0.19825579,0.03477806,-164.06444747924806,488.4220245361328,12.800966930389404
