train/epoch,train/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Std,debug/MSE of random decoding Mean,test/loss,train/KL,debug/MSE of reconstruction,debug/MSE improvement over random Mean,train/loss,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE improvement over random Max,test/KL,beta,debug/MSE improvement over random Min,test/Log Prob
0,-6851.596879882813,7.2551245e-08,0.020995654,0.059333034,2737.757861328125,24.15464528083801,0.01904273,0.040290304,7093.143347167968,0.07913087,0.90391004,0.0720295,10.282748794555664,10.0,0.006306296,-2634.9303466796873
1,-2334.6749975585935,3.5527137e-11,0.012460768,0.051066715,2353.2812744140624,8.18903944015503,0.027513007,0.023553707,2416.5653857421876,0.11508612,0.971118,0.038090333,6.521109485626221,10.0,0.000979552,-2288.0701416015627
2,-2231.936416015625,3.5527137e-13,0.01121903,0.039516788,2305.594091796875,5.9675660943984985,0.026218468,0.013298314,2291.61208984375,0.12285604,0.90388465,0.030796343,5.595004653930664,10.0,-3.0789524e-06,-2249.64404296875
3,-2208.0474291992186,0.0,0.0064292727,0.034510966,2208.4354248046875,5.068132328987121,0.02681456,0.0076964083,2258.728742675781,0.1336694,0.9652457,0.018368265,3.8814854860305785,10.0,-4.7316775e-05,-2169.6205810546876
4,-2144.710831298828,0.0,0.0026871848,0.029931631,3173.12626953125,5.369556798934936,0.023080757,0.0068508545,2198.40640625,0.15574518,0.9930232,0.01163839,83.74264526367188,10.0,-4.3746084e-05,-2335.6998046875
5,-1848.6346740722656,0.0,0.0013301859,0.028360844,27432.1169921875,9.653154931068421,0.03497057,-0.006609738,1945.1662231445312,0.15590486,0.99661684,-0.0040803514,2463.49921875,10.0,-0.008911885,-2797.1245361328124
6,-1656.1966235351563,0.0,0.003950424,0.031508,4849.81416015625,10.564619903564454,0.036584526,-0.0050765374,1761.8428234863281,0.16115466,0.999974,0.008108243,193.32965850830078,10.0,-0.011885371,-2916.5176513671877
7,-1545.5538244628906,0.0,0.009512129,0.03481938,4118.44462890625,10.349564332962036,0.038273554,-0.0034541867,1649.0494677734375,0.16337448,0.99999595,0.025834907,85.58251571655273,10.0,-0.013707457,-3262.619482421875
8,-1478.8566235351564,0.0,0.007796869,0.020614041,3692.692333984375,10.493963632583618,0.011764777,0.008849254,1583.7962585449218,0.12218266,1.0,0.04177178,36.056784057617186,10.0,0.003485255,-3332.1244873046876
9,-1310.2364770507813,0.0,0.0077357967,0.02191954,2684.620849609375,11.196091051101684,0.02251964,-0.0006001043,1422.1973864746094,0.12443964,1.0,0.027419694,20.672717094421387,10.0,-0.008628055,-2477.89365234375
